Name,Aliases,Nationality,Ethnicity
Barry Scott,Unknown,Unknown,Unknown
Gerald Vi,"Toni Bill, Abel, Toni Bil, Tony Bill",Unknown,Caucasian
Hugo,"Hugo Sperminator, Hugo North, Sperminator",Dutch,Caucasian
Jimmy Dix,Unknown,Unknown,Unknown
Johnny Xl,Unknown,Unknown,Unknown
James Black,Unknown,Unknown,Unknown
Kevin Long,Unknown,Unknown,Unknown
Henk,Unknown,Dutch,Caucasian
Amone Bane,Unknown,Unknown,Mixed
Rockhardo Black,Unknown,Unknown,Black
Matt Bishop,Unknown,American,Black
Sean Lawless,Sean Payton,American,Caucasian
Parker Savage,Unknown,Unknown,Caucasian
Mark Lax,Unknown,Unknown,Caucasian
Jay Scarman,Unknown,Unknown,Unknown
John Bishop,"Dirty Dog, John, Ian, John Petty, Chuck Loads",British,Caucasian
Loupan Xxx,Loupan,Unknown,Latin
Martin X,"Martin T, Martin, Martin Martinelli",Ukrainian,Caucasian
Bodo,"Bodo Burner, Jan-Martin K, Bodo Banger",German,Caucasian
Cali Deep,Unknown,Unknown,Latin
Wrex Oliver,"Wrex (jamiefosterstrips.com), Jimmy Deep",Unknown,Caucasian
Toni Ribas,Unknown,Unknown,Unknown
Brick Danger,Unknown,American,Caucasian
Rico Shades,"Shades, Ricardo Shades",American,Black
Matt Bird,"Johnny Wakeup, Laslo, Daniel Halasz, Jarkal, Jon Axe, Lazlo, Laszlo, Ted Lauter, Lucky Luke, Matt Denae, Alan Perrish",Hungarian,Unknown
Smash Thompson,Smash Tafarih,American,Black
Riley Mitchell,"Riley, Riley Mitchel",American,Caucasian
Kike Star,Unknown,Spanish,Caucasian
Stanley Johnson,"Stanley Jones, Stanley Johnosn",Russian,Caucasian
Leo Santos,Unknown,Brazilian,Latin
Tony Michaels,Unknown,Unknown,Unknown
Tony Martinez,Unknown,Unknown,Unknown
Steven Lee,Unknown,American,Caucasian
Igor Pikachu,Unknown,Unknown,Unknown
Jay R,Unknown,Unknown,Unknown
Roger Smore,Unknown,Unknown,Unknown
Ivor Badcock,"Marlon, Senzi, The Dirty Cleaner, Sensi",British,Black
Chris Mountain,Unknown,Unknown,Unknown
Lefty Larue,Unknown,Unknown,Unknown
Ricky Mancini,"Ricki Mancini, Marcel Pignom, Marcel Pignol, Ricky Manccini",French,Caucasian
Nacho Vidal,"Nacho, Nachos Camachos, Nachu",Spanish,Caucasian
Trevor Zen,Unknown,Unknown,Unknown
Ruckus,Unknown,American,Caucasian
Nat Turnher,Unknown,Unknown,Unknown
Vadim Muromtsev,Unknown,Unknown,Unknown
Tony Genius,Unknown,Unknown,Mixed
Pov Joe,Unknown,Unknown,Unknown
Kamil Klein,Unknown,Unknown,Unknown
Cedric Fato,Cedrick Fato,French,Caucasian
Marco Rivera,Unknown,Unknown,Unknown
Barrett Blade,Unknown,Unknown,Unknown
King Frank,Unknown,American,Black
Brandon Lee Harrington,Brandon Harrington,American,Black
Johnny Slovak,Unknown,Unknown,Unknown
Josue Fit,Unknown,Unknown,Latin
Tommy Gold,"Edmund, Timmy, Tony Gold, Bruno Porta",Russian,Caucasian
Eric Swiss,Unknown,Unknown,Unknown
Drake Von,"Dawson Bacon, Drake Yuri",American,Caucasian
Milos Savic,Unknown,Unknown,Unknown
Tone Capone,Unknown,Unknown,Unknown
Nick Leykis,Unknown,Unknown,Unknown
Mark Zebro,Unknown,Unknown,Unknown
David Taylor,Unknown,Unknown,Unknown
Oliver Sanchez,Unknown,Unknown,Unknown
Paulo Bangkok,"Bams Kok, Vankok, Bangkok, Van Kok",Spanish,Latin
Nova Taylor,Unknown,American,Black
Dick Delaware,Unknown,Unknown,Unknown
Jack Spade,Unknown,Unknown,Unknown
Don Fernando,Unknown,Unknown,Unknown
Tyler Wood,Unknown,Unknown,Unknown
Viktor Blizzard,Unknown,Unknown,Unknown
Rocco Maltesi,Unknown,Italian,Caucasian
Heath Austin,Unknown,Unknown,Caucasian
Jasper Woodcock,Unknown,American,Caucasian
Charlie Mac,Unknown,Unknown,Unknown
Marcus London,Unknown,Unknown,Unknown
Tony Orlando,Sissy Tanya,American,Caucasian
Tommy Utah,Unknown,Unknown,Unknown
Tyler Durden,Unknown,Unknown,Unknown
Talon,"Cliff Cummings, Lex Baldwin, Talon Valenti",Unknown,Unknown
Justin Long,Unknown,Unknown,Unknown
Tee Reel,Unknown,Unknown,Unknown
Choky Ice,Unknown,Unknown,Unknown
Joel Someone,"Elder Someone, Joel Morri",American,Caucasian
King Noire,"Hasan Salaam, Jesus",American,Black
Christian Clay,"Sancio L'Orco, Cristiano Ferri, Christian Devil, Christian Duro, Christian David, Christian Neri, Chris Clay, Cristian Clay",Unknown,Unknown
Mark Marais,Unknown,Unknown,Unknown
Alec Knight,"Alec T. Shag, Alec Night, Alex Knight, Howie Wood",Unknown,Unknown
Tony Desergio,Unknown,Unknown,Unknown
J. Monty,Unknown,Unknown,Unknown
Jack Kallahari,Unknown,Unknown,Latin
Andre Stone,Unknown,American,Black
